City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bangar,16.8936,120.4243,21.21,67,96,1.87,PH,1706379493
1,san patricio,28.017,-97.5169,19.39,60,42,7.86,US,1706379493
2,amurzet,47.6967,131.0981,-24.18,99,59,0.93,RU,1706379493
3,thompson,55.7435,-97.8558,-11.16,95,100,2.15,CA,1706379493
4,isafjordur,66.0755,-23.124,-1.85,54,59,8.91,IS,1706379494
5,blackmans bay,-43.0167,147.3167,14.07,72,94,0.89,AU,1706379494
6,suzun,53.7841,82.3116,-14.32,99,96,1.62,RU,1706379494
7,utrik,11.2278,169.8474,24.83,62,100,4.13,MH,1706379495
8,port-aux-francais,-49.35,70.2167,7.85,93,86,15.93,TF,1706379495
9,madhupur,24.25,86.65,13.53,44,0,1.57,IN,1706379495
10,ambon,-3.6954,128.1814,28.38,12,40,0.51,ID,1706379495
11,dudinka,69.4058,86.1778,-13.51,92,100,8.49,RU,1706379496
12,cabedelo,-6.9811,-34.8339,30.37,65,61,5.65,BR,1706379236
13,yellowknife,62.456,-114.3525,-17.55,84,100,5.14,CA,1706379496
14,iqaluit,63.7506,-68.5145,-32.95,60,75,5.14,CA,1706379496
15,ushuaia,-54.8,-68.3,12.79,43,40,3.09,AR,1706379497
16,adamstown,-25.066,-130.1015,24.43,72,100,4.48,PN,1706379497
17,olonkinbyen,70.9221,-8.7187,-2.9,78,71,10.97,SJ,1706379497
18,besskorbnaya,44.6447,41.311,-1.07,95,100,1.39,RU,1706379497
19,invercargill,-46.4,168.35,11.68,87,95,0.89,NZ,1706379498
20,grytviken,-54.2811,-36.5092,5.66,91,62,1.35,GS,1706379498
21,taoudenni,22.6783,-3.9836,23.55,11,0,4.57,ML,1706379498
22,bethel,41.3712,-73.414,7.19,74,100,3.09,US,1706379249
23,yarmouth,41.7057,-70.2286,4.49,87,100,5.36,US,1706379499
24,san antonio de pale,-1.4014,5.6325,27.99,75,17,2.28,GQ,1706379499
25,puerto natales,-51.7236,-72.4875,15.25,38,75,14.92,CL,1706379499
26,bredasdorp,-34.5322,20.0403,21.68,76,79,5.65,ZA,1706379499
27,jamestown,42.097,-79.2353,5.01,100,100,2.06,US,1706378716
28,flying fish cove,-10.4217,105.6791,24.82,88,75,0.0,CX,1706379500
29,newman,37.3138,-121.0208,12.35,92,100,0.89,US,1706379500
30,guerrero negro,27.9769,-114.0611,19.87,33,54,2.13,MX,1706379338
31,edinburgh of the seven seas,-37.0676,-12.3116,15.74,69,28,10.77,SH,1706379501
32,ar ruways,24.1103,52.7306,22.36,60,100,5.03,AE,1706379254
33,bubaque,11.2833,-15.8333,26.58,58,29,5.19,GW,1706379501
34,sabang,5.8933,95.3214,27.12,81,100,8.26,ID,1706379502
35,sumbe,-11.2061,13.8437,27.42,86,90,1.9,AO,1706379502
36,prince rupert,54.3161,-130.3201,9.05,87,100,8.23,CA,1706379502
37,sechura,-5.5569,-80.8222,29.55,58,86,5.41,PE,1706379503
38,tiksi,71.6872,128.8694,-23.85,85,93,5.44,RU,1706379503
39,lobujya,27.95,86.8167,-16.11,37,15,4.93,NP,1706379503
40,margaret river,-33.95,115.0667,16.17,86,1,4.06,AU,1706379391
41,opuwo,-18.0607,13.84,30.6,28,91,3.52,NA,1706379504
42,salinas,36.6777,-121.6555,16.98,75,0,5.66,US,1706379379
43,hasaki,35.7333,140.8333,0.22,54,45,2.06,JP,1706379504
44,trzebiatow,54.0615,15.2648,4.92,93,27,5.9,PL,1706379505
45,trinity beach,-16.7888,145.6968,29.47,78,75,4.63,AU,1706379505
46,lae,-6.7221,146.9847,25.52,90,100,1.56,PG,1706379250
47,papatowai,-46.5619,169.4708,11.64,74,98,2.69,NZ,1706379505
48,waitangi,-43.9535,-176.5597,18.23,93,92,2.24,NZ,1706379506
49,afaahiti,-17.75,-149.2833,27.93,82,85,3.04,PF,1706379506
50,ulan bator,47.9077,106.8832,-30.93,69,5,0.0,MN,1706379295
51,chiredzi,-21.05,31.6667,25.29,51,32,2.37,ZW,1706379506
52,saldanha,-33.0117,17.9442,17.96,94,100,3.66,ZA,1706379507
53,berdigestyakh,62.0989,126.6992,-32.93,97,100,2.13,RU,1706379507
54,tomatlan,19.9333,-105.25,31.35,36,0,2.67,MX,1706379507
55,argo,37.6333,22.7333,8.21,60,20,1.22,GR,1706379507
56,bikenibeu village,1.3673,173.1241,27.98,83,75,5.14,KI,1706379508
57,albany,42.6001,-73.9662,4.21,78,100,0.52,US,1706379295
58,ust-nera,64.5667,143.2,-43.9,100,61,1.71,RU,1706379508
59,kalat,29.0225,66.5916,7.62,86,99,3.44,PK,1706379509
60,nantucket,41.2835,-70.0995,5.08,81,100,4.63,US,1706379509
61,georgetown,5.4112,100.3354,27.96,76,20,4.12,MY,1706379318
62,colonia,50.9333,6.95,5.54,71,0,2.57,DE,1706379509
63,beau vallon,-20.4189,57.6953,27.13,89,75,2.57,MU,1706379510
64,isetskoye,56.4858,65.3226,-13.36,96,100,1.98,RU,1706379510
65,teknaf,20.8624,92.3058,15.49,72,42,4.08,BD,1706379510
66,castillos,-34.1667,-53.8333,25.88,48,0,6.06,UY,1706379511
67,kzyltu,53.6364,72.3414,-21.19,100,96,3.13,KZ,1706379511
68,kodiak,57.79,-152.4072,-9.27,53,0,2.06,US,1706379511
69,inhambane,-23.865,35.3833,23.8,71,0,4.28,MZ,1706379511
70,fortuna,40.5982,-124.1573,16.31,87,20,7.72,US,1706379512
71,kshenskiy,51.8408,37.7136,-0.68,96,98,2.46,RU,1706379512
72,port alfred,-33.5906,26.891,21.77,93,14,0.45,ZA,1706379513
73,tabas,33.5959,56.9244,13.12,88,44,2.06,IR,1706379513
74,port elizabeth,-33.918,25.5701,23.94,92,20,5.14,ZA,1706379513
75,natal,-5.795,-35.2094,31.36,70,40,7.2,BR,1706379513
76,thinadhoo,0.5333,72.9333,28.23,69,4,5.4,MV,1706379514
77,alice springs,-23.7,133.8833,26.79,23,26,2.68,AU,1706379514
78,wailua homesteads,22.0669,-159.378,23.44,80,100,6.17,US,1706379514
79,manaure,11.7751,-72.4445,31.18,48,2,9.42,CO,1706379514
80,yoloten,37.2989,62.3597,12.01,71,88,4.2,TM,1706379515
81,namibe,-15.1961,12.1522,24.7,83,21,5.65,AO,1706379515
82,longyearbyen,78.2186,15.6401,-6.09,68,20,11.83,SJ,1706379515
